year,country_code,country,commodity_code,commodity_description,net_weight_kg,import_value_usd,sector,product_group,avg_price_usd_kg
2020,ITA,Italy,1801,"Cocoa beans; whole or broken, raw or roasted",99518871.0,302487720.992,Cocoa,Cocoa beans,3.0395011313180995
2020,CIV,Côte d'Ivoire,1801,"Cocoa beans; whole or broken, raw or roasted",134.0,840.5,Cocoa,Cocoa beans,6.272388059701493
2020,JAM,Jamaica,1801,"Cocoa beans; whole or broken, raw or roasted",8.95,25.72,Cocoa,Cocoa beans,2.873743016759777
2020,JPN,Japan,1801,"Cocoa beans; whole or broken, raw or roasted",48532929.0,137167818.965,Cocoa,Cocoa beans,2.8262835520394822
2020,KAZ,Kazakhstan,1801,"Cocoa beans; whole or broken, raw or roasted",8437197.0,25524308.77,Cocoa,Cocoa beans,3.0252119003503175
2020,JOR,Jordan,1801,"Cocoa beans; whole or broken, raw or roasted",1058.858,2946.479,Cocoa,Cocoa beans,2.782695130036322
2020,KEN,Kenya,1801,"Cocoa beans; whole or broken, raw or roasted",195.805,106.537,Cocoa,Cocoa beans,0.5440974438854983
2020,KOR,Rep. of Korea,1801,"Cocoa beans; whole or broken, raw or roasted",,13799988.0,Cocoa,Cocoa beans,
2020,KWT,Kuwait,1801,"Cocoa beans; whole or broken, raw or roasted",16996.34,268523.0,Cocoa,Cocoa beans,15.798871992440725
2020,LBN,Lebanon,1801,"Cocoa beans; whole or broken, raw or roasted",1121.0,4657.0,Cocoa,Cocoa beans,4.154326494201606
2020,LSO,Lesotho,1801,"Cocoa beans; whole or broken, raw or roasted",90.0,335.498,Cocoa,Cocoa beans,3.7277555555555555
2020,LVA,Latvia,1801,"Cocoa beans; whole or broken, raw or roasted",3428.0,28047.767,Cocoa,Cocoa beans,8.18196236872812
2020,LTU,Lithuania,1801,"Cocoa beans; whole or broken, raw or roasted",1144078.29,1081624.0,Cocoa,Cocoa beans,0.9454108249882095
2020,LUX,Luxembourg,1801,"Cocoa beans; whole or broken, raw or roasted",4708.709,57541.539,Cocoa,Cocoa beans,12.220236799513412
2020,MDG,Madagascar,1801,"Cocoa beans; whole or broken, raw or roasted",0.04,7.085,Cocoa,Cocoa beans,177.125
2020,MWI,Malawi,1801,"Cocoa beans; whole or broken, raw or roasted",60.03,215.014,Cocoa,Cocoa beans,3.581775778777278
2020,MYS,Malaysia,1801,"Cocoa beans; whole or broken, raw or roasted",384681539.0,972644391.216,Cocoa,Cocoa beans,2.5284405218520245
2020,MLT,Malta,1801,"Cocoa beans; whole or broken, raw or roasted",307.0,5160.442,Cocoa,Cocoa beans,16.809257328990228
2020,MRT,Mauritania,1801,"Cocoa beans; whole or broken, raw or roasted",11.0,56.468,Cocoa,Cocoa beans,5.133454545454546
2020,MUS,Mauritius,1801,"Cocoa beans; whole or broken, raw or roasted",5.0,126.49,Cocoa,Cocoa beans,25.298
2020,MEX,Mexico,1801,"Cocoa beans; whole or broken, raw or roasted",20473418.36,55008827.0,Cocoa,Cocoa beans,2.68684134875462
2020,HUN,Hungary,1806,Chocolate and other food preparations containing cocoa,0.0,303876558.0,Cocoa,Chocolate and cocoa preparations,
2020,ISL,Iceland,1806,Chocolate and other food preparations containing cocoa,2603824.153,21319481.904,Cocoa,Chocolate and cocoa preparations,8.18775794803068
2020,IDN,Indonesia,1806,Chocolate and other food preparations containing cocoa,13643002.0,73726830.0,Cocoa,Chocolate and cocoa preparations,5.404003459062749
2020,IRN,Iran,1806,Chocolate and other food preparations containing cocoa,9640.0,20899.0,Cocoa,Chocolate and cocoa preparations,2.167946058091286
2020,IRL,Ireland,1806,Chocolate and other food preparations containing cocoa,91731926.71,410010309.456,Cocoa,Chocolate and cocoa preparations,4.469657666214738
2020,ISR,Israel,1806,Chocolate and other food preparations containing cocoa,31952467.993,180356000.0,Cocoa,Chocolate and cocoa preparations,5.644509214108643
2020,ITA,Italy,1806,Chocolate and other food preparations containing cocoa,121921612.323,632473131.078,Cocoa,Chocolate and cocoa preparations,5.187539100142679
2020,CIV,Côte d'Ivoire,1806,Chocolate and other food preparations containing cocoa,2267145.0,5989380.26,Cocoa,Chocolate and cocoa preparations,2.6418161432109546
2020,JAM,Jamaica,1806,Chocolate and other food preparations containing cocoa,1758360.21,10738868.83,Cocoa,Chocolate and cocoa preparations,6.1073202003359714
2020,JPN,Japan,1806,Chocolate and other food preparations containing cocoa,167388464.0,578545293.437,Cocoa,Chocolate and cocoa preparations,3.4563032577740844
2020,KAZ,Kazakhstan,1806,Chocolate and other food preparations containing cocoa,63216333.075,174180778.79,Cocoa,Chocolate and cocoa preparations,2.7553129123030833
2020,JOR,Jordan,1806,Chocolate and other food preparations containing cocoa,14208850.358,79530327.969,Cocoa,Chocolate and cocoa preparations,5.597238760715225
2020,KEN,Kenya,1806,Chocolate and other food preparations containing cocoa,2339052.523,12305433.434,Cocoa,Chocolate and cocoa preparations,5.260862384662237
2020,KOR,Rep. of Korea,1806,Chocolate and other food preparations containing cocoa,48668524.006,326726962.0,Cocoa,Chocolate and cocoa preparations,6.713311502105964
2020,KWT,Kuwait,1806,Chocolate and other food preparations containing cocoa,20599628.862,180542281.0,Cocoa,Chocolate and cocoa preparations,8.764346300095006
2020,KGZ,Kyrgyzstan,1806,Chocolate and other food preparations containing cocoa,15618508.278,28285324.0,Cocoa,Chocolate and cocoa preparations,1.8110131580134505
2020,LAO,Lao People's Dem. Rep.,1806,Chocolate and other food preparations containing cocoa,534565.69,478271.28,Cocoa,Chocolate and cocoa preparations,0.8946913147381383
2020,LBN,Lebanon,1806,Chocolate and other food preparations containing cocoa,6291153.0,22803331.0,Cocoa,Chocolate and cocoa preparations,3.6246664164740547
2020,LSO,Lesotho,1806,Chocolate and other food preparations containing cocoa,448771.535,1196088.267,Cocoa,Chocolate and cocoa preparations,2.665249851463953
2020,LVA,Latvia,1806,Chocolate and other food preparations containing cocoa,15587672.012,71672512.873,Cocoa,Chocolate and cocoa preparations,4.598025466395732
2020,LBR,Liberia,1806,Chocolate and other food preparations containing cocoa,654320.338,594552.86,Cocoa,Chocolate and cocoa preparations,0.9086571599123975
