year,country_code,country,commodity_code,commodity_description,net_weight_kg,import_value_usd,sector,product_group,avg_price_usd_kg,population,gdp_per_capita,import_value_usd_per_capita,net_weight_kg_per_capita
2021,CYP,Cyprus,1806,Chocolate and other food preparations containing cocoa,5833212.0,36768085.748,Cocoa,Chocolate and cocoa preparations,6.303231521158498,1317309.0,32937.83984375,27.911511838148837,4.428127341421034
2021,CZE,Czechia,1806,Chocolate and other food preparations containing cocoa,94081089.471,462622736.0,Cocoa,Chocolate and cocoa preparations,4.917276560053027,10505772.0,27696.4619527544,44.03510146612738,8.955180968233462
2021,DNK,Denmark,1806,Chocolate and other food preparations containing cocoa,61784846.0,382433559.407,Cocoa,Chocolate and cocoa preparations,6.189763091859127,5856733.0,69340.7334922138,65.29810380753229,10.549370442531698
2021,EST,Estonia,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",6750486.465,42954145.48,Coffee,Coffee total,6.363118525266164,1330932.0,27951.1659277744,32.273734105123324,5.071999519885313
2021,FIN,Finland,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",63952706.472,280477228.731,Coffee,Coffee total,4.385697560021162,5541017.0,53099.1351400148,50.618366399345106,11.541691078009688
2021,FRA,France,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",413294682.913,2948688968.172,Coffee,Coffee total,7.1345920721479725,67842811.0,43725.0999521245,43.46354351637935,6.091945142323186
2021,EST,Estonia,1801,"Cocoa beans; whole or broken, raw or roasted",21063000.705,55305075.87,Cocoa,Cocoa beans,2.6256978597010403,1330932.0,27951.1659277744,41.55364501717593,15.825752709379591
2021,FIN,Finland,1801,"Cocoa beans; whole or broken, raw or roasted",49657.0,320864.436,Cocoa,Cocoa beans,6.461615401655355,5541017.0,53099.1351400148,0.05790713798568024,0.008961712263290294
2021,FRA,France,1801,"Cocoa beans; whole or broken, raw or roasted",161030021.973,458832408.097,Cocoa,Cocoa beans,2.84935940811045,67842811.0,43725.0999521245,6.7631691749476595,2.373575322122192
2021,EST,Estonia,1806,Chocolate and other food preparations containing cocoa,9843490.162,60106788.69,Cocoa,Chocolate and cocoa preparations,6.106247652081516,1330932.0,27951.1659277744,45.1614272479736,7.395937705307259
2021,FIN,Finland,1806,Chocolate and other food preparations containing cocoa,27066330.311,169938166.785,Cocoa,Chocolate and cocoa preparations,6.278581722470726,5541017.0,53099.1351400148,30.669129292510743,4.88472248163108
2021,FRA,France,1806,Chocolate and other food preparations containing cocoa,544960700.546,2431486244.608,Cocoa,Chocolate and cocoa preparations,4.461764384426027,67842811.0,43725.0999521245,35.83999850194886,8.032696353722725
2021,DEU,Germany,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",1173902992.855,3837836014.552,Coffee,Coffee total,3.2692957066394053,83196078.0,52349.2459994422,46.1300112554825,14.110076112662426
2021,GRC,Greece,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",0.0,288154275.444,Coffee,Coffee total,,10569207.0,20654.7001960815,27.263566267932873,0.0
2021,DEU,Germany,1801,"Cocoa beans; whole or broken, raw or roasted",277367884.312,763045646.068,Cocoa,Cocoa beans,2.7510237818653893,83196078.0,52349.2459994422,9.171654054028844,3.333905767913723
2021,GRC,Greece,1801,"Cocoa beans; whole or broken, raw or roasted",3856286.0,10732335.781,Cocoa,Cocoa beans,2.78307567981213,10569207.0,20654.7001960815,1.0154343444120264,0.3648604857488362
2021,DEU,Germany,1806,Chocolate and other food preparations containing cocoa,533596231.361,2680688851.215,Cocoa,Chocolate and cocoa preparations,5.023815187707731,83196078.0,52349.2459994422,32.221336818485604,6.413718581313413
2021,GRC,Greece,1806,Chocolate and other food preparations containing cocoa,32305071.72,151135940.646,Cocoa,Chocolate and cocoa preparations,4.678396691267275,10569207.0,20654.7001960815,14.299648085802463,3.056527487823826
2021,HUN,Hungary,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",0.0,136235596.0,Coffee,Coffee total,,9630932.0,19030.628130329,14.145629519552209,0.0
2021,IRL,Ireland,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",14459256.161,122936402.764,Coffee,Coffee total,8.502263283472926,5110585.0,103783.446284479,24.055250575814707,2.8292761319888036
2021,ITA,Italy,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",645158355.0,1765941494.12,Coffee,Coffee total,2.7372217695607457,59133173.0,36852.5425414951,29.863804097236585,10.910261064462075
2021,LVA,Latvia,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",10824883.702,72148101.554,Coffee,Coffee total,6.665023250150019,1884490.0,20261.8887788916,38.28521326937262,5.744198006887805
2021,LTU,Lithuania,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",21656375.38,152126848.0,Coffee,Coffee total,7.024575688713427,2808380.0,23870.4594851722,54.16889737143834,7.711340837066208
2021,LUX,Luxembourg,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",20169951.988,138013253.262,Coffee,Coffee total,6.842517688892378,640064.0,134965.815442152,215.62414580729427,31.512398741375865
2021,MLT,Malta,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",799078.0,6767810.368,Coffee,Coffee total,8.469524086509702,518150.0,38096.8360735119,13.061488696323458,1.5421750458361478
2021,HUN,Hungary,1801,"Cocoa beans; whole or broken, raw or roasted",11954.0,104238.0,Cocoa,Cocoa beans,8.719926384473816,9630932.0,19030.628130329,0.010823251581466882,0.0012412090543262064
